language,precision,recall,f1-score,support
Chinese,0.00,0.00,0.00,414
French,0.09,0.79,0.17,401
German,0.11,0.06,0.07,400
Italian,0.22,0.00,0.01,423
Japanese,0.00,0.00,0.00,407
Korean,0.00,0.00,0.00,413
Portuguese,0.00,0.00,0.00,407
Russian,0.33,0.00,0.00,427
Spanish,0.00,0.00,0.00,428
Turkish,0.10,0.14,0.12,404
