,feature,type,Chinese,French,German,Italian,Japanese,Korean,Portuguese,Russian,Spanish,Turkish
3,wordseqs,train,(.06 .03 .04),(.05 .12 .07),(.07 .12 .09),(.03 .03 .03),(.08 .04 .05),(.06 .03 .04),(.02 .01 .01),(.04 .04 .04),(.02 .01 .01),(.09 .18 .12)
0,wordseqs,test,(.17 .09 .11),(.15 .33 .2),(.13 .2 .15),(.15 .16 .15),(.33 .07 .11),(.0 .0 .0),(.0 .0 .0),(.02 .02 .02),(.06 .02 .03),(.09 .18 .12)
1,posseqs,train,(.0 .0 .0),(.09 .79 .17),(.11 .06 .07),(.22 .0 .01),(.0 .0 .0),(.0 .0 .0),(.0 .0 .0),(.33 .0 .0),(.0 .0 .0),(.1 .14 .12)
2,posseqs,test,(.0 .0 .0),(.12 .85 .2),(.12 .05 .07),(.0 .0 .0),(.0 .0 .0),(.0 .0 .0),(.0 .0 .0),(.0 .0 .0),(.0 .0 .0),(.18 .24 .21)
