,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_clf__C,param_clf__kernel,param_union__errors__tfidf__norm,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.36745028495788573,0.06431465148925782,0.12536372453928224,0.1375447438568771,0.1,linear,l1,"{'clf__C': 0.1, 'clf__kernel': 'linear', 'union__errors__tfidf__norm': 'l1'}",22,0.13027744270205066,0.12867981790591806,0.12560386473429952,0.13531553398058252,0.1321212121212121,0.14216429220976054,0.12043795620437957,0.14385221078134464,0.11829268292682926,0.13771186440677965,0.0029503277381389375,0.0005311283901609219,0.005364506578087317,0.005379750627206359
1,0.361572265625,0.06425776481628417,0.13579049466537343,0.17095007235368426,0.1,linear,l2,"{'clf__C': 0.1, 'clf__kernel': 'linear', 'union__errors__tfidf__norm': 'l2'}",16,0.13872135102533173,0.1678300455235205,0.14855072463768115,0.16868932038834952,0.11757575757575757,0.17762958472264323,0.13381995133819952,0.1735311932162326,0.1402439024390244,0.16707021791767554,0.0013476413236509284,0.0009391778494455584,0.010271642693217646,0.004029315269583191
2,0.46727604866027833,0.06488919258117676,0.1433074684772066,0.21029370178985712,0.1,linear,,"{'clf__C': 0.1, 'clf__kernel': 'linear', 'union__errors__tfidf__norm': None}",6,0.1411338962605549,0.21305007587253413,0.14371980676328502,0.20843446601941748,0.12484848484848485,0.20824492270384964,0.14963503649635038,0.21290127195639005,0.1573170731707317,0.20883777239709442,0.007390730477532779,0.0011984216162049864,0.010777428913947456,0.0021986816071046036
3,0.39675512313842776,0.06606202125549317,0.1059650824442289,0.10535894294043158,0.1,poly,l1,"{'clf__C': 0.1, 'clf__kernel': 'poly', 'union__errors__tfidf__norm': 'l1'}",28,0.1037394451145959,0.10379362670713202,0.10386473429951691,0.10376213592233009,0.11515151515151516,0.11154895422855411,0.10340632603406326,0.10387643852210782,0.10365853658536585,0.1038135593220339,0.003809709723474284,0.0002978526351984633,0.0045963566606247366,0.003095231079862537
4,0.39477009773254396,0.06589722633361816,0.10499515033947623,0.10511644521384778,0.1,poly,l2,"{'clf__C': 0.1, 'clf__kernel': 'poly', 'union__errors__tfidf__norm': 'l2'}",33,0.1037394451145959,0.10379362670713202,0.10386473429951691,0.10376213592233009,0.1103030303030303,0.11033646559563504,0.10340632603406326,0.10387643852210782,0.10365853658536585,0.1038135593220339,0.003805091528039955,0.0005911612587557492,0.0026585701713323206,0.002610277513511648
5,0.4139594078063965,0.06589608192443848,0.11032977691561591,0.14767517623116258,0.1,poly,,"{'clf__C': 0.1, 'clf__kernel': 'poly', 'union__errors__tfidf__norm': None}",26,0.1218335343787696,0.16084977238239756,0.10386473429951691,0.14350728155339806,0.10666666666666667,0.13822370415277357,0.11192214111922141,0.15354330708661418,0.1073170731707317,0.14225181598062955,0.0020867418389570952,0.0006400024494229604,0.006323629612902448,0.00829601651861187
6,0.6064153671264648,0.0921675682067871,0.1059650824442289,0.10608643612018302,0.1,rbf,l1,"{'clf__C': 0.1, 'clf__kernel': 'rbf', 'union__errors__tfidf__norm': 'l1'}",28,0.1037394451145959,0.10379362670713202,0.10386473429951691,0.10376213592233009,0.11515151515151516,0.11518642012731131,0.10340632603406326,0.10387643852210782,0.10365853658536585,0.1038135593220339,0.012099470889599949,0.001001679634493733,0.0045963566606247366,0.004550145353005064
7,0.6005144596099854,0.0924461841583252,0.10717749757516974,0.107420173616394,0.1,rbf,l2,"{'clf__C': 0.1, 'clf__kernel': 'rbf', 'union__errors__tfidf__norm': 'l2'}",27,0.1037394451145959,0.10379362670713202,0.10386473429951691,0.10376213592233009,0.12121212121212122,0.12185510760836617,0.10340632603406326,0.10387643852210782,0.10365853658536585,0.1038135593220339,0.0031140995132381616,0.0009369669080154168,0.007019975400231318,0.007217563670597185
8,0.5977667808532715,0.09238128662109375,0.1316682832201746,0.15391170598376291,0.1,rbf,,"{'clf__C': 0.1, 'clf__kernel': 'rbf', 'union__errors__tfidf__norm': None}",20,0.12545235223160434,0.14142640364188164,0.12560386473429952,0.15928398058252427,0.12727272727272726,0.15004546832373447,0.1362530413625304,0.162023016353725,0.14390243902439023,0.15677966101694915,0.0010962786241055203,0.0008780296841070824,0.007277804255144044,0.007398789422151947
9,0.3554886817932129,0.06384172439575195,0.14282250242483027,0.18925925992575157,1,linear,l1,"{'clf__C': 1, 'clf__kernel': 'linear', 'union__errors__tfidf__norm': 'l1'}",7,0.1411338962605549,0.19271623672230653,0.1606280193236715,0.185376213592233,0.13333333333333333,0.1933919369505911,0.13017031630170317,0.18927922471229558,0.14878048780487804,0.1855326876513317,0.0017223675884387333,0.0004963240734134175,0.011009304409103986,0.0034057450374619775
10,0.37060914039611814,0.06377387046813965,0.14451988360814744,0.20150402928419,1,linear,l2,"{'clf__C': 1, 'clf__kernel': 'linear', 'union__errors__tfidf__norm': 'l2'}",2,0.1399276236429433,0.19817905918057663,0.14371980676328502,0.20509708737864077,0.13090909090909092,0.20157623522279478,0.15206812652068127,0.20714718352513628,0.15609756097560976,0.19552058111380144,0.004595798832919737,0.000730685352292201,0.00891271603141373,0.004280596877829701
